objectid,parentid,display_template,title,creator,location_of_origin,creator_photographer,date,source,date_earliest,date_latest,objectt_ht,object_wd,object_mm,object_sm,description,subject,description_provenance,object_location,image_small,image_thumb,format_size,format
w_402186,,compound_object,Resurrection,"Tintoretto, Jacopo (Artist; visual artist) 1519--1594",Venetian,,1519-1594,,1519,1594,,,,,"Depicts the resurrection of Christ. Laymen relax in the foreground, soldiers run to the left of Christ, who is central in the work with angels behind him. In the background, two figures with cloth around their heads discuss intently.",Resurrection--Art; Jesus Christ; Christianity,Sir William Farrar (owner); Ashmolean Museum (owner/exhibitor),,,,,
w_402186_1,w_402186,,Front (Resurrection),,,,,,,,,,,,,,,/objects/402186_1_420721188.jpg,/objects/small/402186_1_420721188.jpg,/objects/thumb/402186_1_420721188.jpg,333 KB,JPG
w_402186_2,w_402186,,Verso (Resurrection),,,,,,,,,,,,,,,/objects/402186_2_420721196.jpg,/objects/small/402186_2_420721196.jpg,/objects/thumb/402186_2_420721196.jpg,141 KB,JPG
w_110844,,compound_object,Venetian Senator (Marco Zani),"Tintoretto, Jacopo (Artist; visual artist) 1519--1594",Venetian,,,,1519,1594,,,,,"Portrait of a Venetian Senator possbily named Marco Zani. The Senator stands regally, in dress robes and looks outwards towards the viewer. He has long white hair and beard.",Portrait; Venice (Italy)--Civilization--16th century; Politicians,"Bought in Italy by Charles Stirling before 1826 (owner/exhibitor); Sotheby's sale, July 3, 1963, lot 46 (auctioned) ",,,,,
w_110844_1,w_110844,,Front (Venetian Senator (Marco Zani)),,,,,,,,,,,,,,,/objects/110844_1_45950853.jpg,/objects/small/110844_1_45950853.jpg,/objects/thumb/110844_1_45950853.jpg,259 KB,JPG
w_110844_2,w_110844,,Verso (Venetian Senator (Marco Zani)),,,,,,,,,,,,,,,/objects/110844_2_45950854.jpg,/objects/small/110844_2_45950854.jpg,/objects/thumb/110844_2_45950854.jpg,130 KB,JPG
w_109897,,compound_object,Holy Family & Infant St. John,"Bordone, Paris (Artist; visual artist) 1500--1571",Venetian,,1500-1571,,1500,1571,39.75 cm (15 3/5 inches),54.75 cm (21 1/2 inches),,,"In the right foreground, Mary lies down on her side with a book. She is looking at a blank space, between the book on the right and a sheep on the left, behind which infants Jesus and John the Baptist are playing. In the background, there is a figure riding on horseback.","Mary, Blessed Virgin, Saint; Jesus Christ; John, the Baptist, Saint--Art","Casa Venier, Venice. Sir Phillip Stephens (owner); Christie's sale, May 17, 1810, lot 77 (auctioned); Lord Ranelagh, 1829 (owner); Stirling College, Keir (owner/exhibitor); Stirling Sale, Sotheby's, July 3, 1963, lot 44 (auctioned); Christie's sale, Dec. 10, 1982, lot 60 (auctioned)",,,,,
w_109897_1,w_109897,,Front (Holy Family & Infant St. John),,,,,"G. Canova, p. 81",,,,,,,,,,/objects/109897_1_45942662.jpg,/objects/small/109897_1_45942662.jpg,/objects/thumb/109897_1_45942662.jpg,283 KB,JPG
w_109897_2,w_109897,,Verso (Holy Family & Infant St. John),,,,,,,,,,,,,,,/objects/109897_2_45942663.jpg,/objects/small/109897_2_45942663.jpg,/objects/thumb/109897_2_45942663.jpg,91.2 KB,JPG
w_109880,,compound_object,Rest in Feight,"Bordone, Paris (Artist; visual artist) 1500--1571",Venetian,,1527-1530,,1500,1571,151 cm (59 2/5 inches),92.5 cm (59 2/5 inches),,,"This painting depicts a group of people, one man along with women and children, resting in the forest, with rucksacks and vases near them. The prescence of angels on the right side of the work suggests this is a religious painting representing a Biblical story.",Christianity; Relaxation; Angels -- Art,"James Cozemore sale, Christie's, May 18, 1833, lot 105 (auctioned); Spencer Churchill, Northwick Park (owner/exhibitor); R.A. number 76, 1960 (exhibited); Christie's Sale, May 28, 1965, lot 27 (auctioned); Christie's Sale, March 14, 1975, lot 110 (auctioned)",,,,,
w_109880_1,w_109880,,Front (Rest in Feight),,,,,"G. Canova, pp. 13-14, 109, repr. Antologica di Belle Arti (September 3, 1977)",,,,,,,,,,/objects/109880_1_45942626.jpg,/objects/small/109880_1_45942626.jpg,/objects/thumb/109880_1_45942626.jpg,205 KB,JPG
w_109880_2,w_109880,,Verso (Rest in Feight),,,,,,,,,,,,,,,/objects/109880_2_45942627.jpg,/objects/small/109880_2_45942627.jpg,/objects/thumb/109880_2_45942627.jpg,79.3 KB,JPG
w_109842,,compound_object,3/4 Length Portrait of fair haired woman holding elaborate mirror,"Bordone, Paris (Artist; visual artist) 1500--1571",Venetian,,1500-1571,,1500,1571,34.5 cm (13 3/5 inches),28.5 cm (11 1/5 inches),,Canvas,Portrait of a woman with long fair hair holidng an elaborate hand mirror next a wooden armoire. The woman is looking to the viewer's right.,Portrait; Hand Mirrors; Woman,"Burlington House, 1873, number 134 (exhibited); Burlington House, 1904, number 73 (exhibited); Chiristie's sale, Foudou(?), July 24, 1945, bought by Koesten for 650 pounds (auctioned); Earl of Radnor, Longford Caslte (exhibited)",,,,,
w_109842_1,w_109842,,Front (3/4 Length Portrait of fair haired woman holding elaborate mirror),,,A.C. Cooper Ltd. (Photographer),,"Waagen, III, p. 140. Engraved.",,,,,,,,,,/objects/109842_1_45942556.jpg,/objects/small/109842_1_45942556.jpg,/objects/thumb/109842_1_45942556.jpg,250 KB,JPG
